athlete_NOC,NOC_for_join,NOC_clean,Year,Gold_ath,Silver_ath,Bronze_ath,Total_ath,Gold_off,Silver_off,Bronze_off,Total_off,Rank,diff_Gold,diff_Silver,diff_Bronze,diff_Total,abs_diff_sum,match_status
GRE,GRE,,1932,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
GUA,GUA,,1932,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
HAI,HAI,,1932,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
HUN,Hungary,Hungary,1932,5,6,5,16,6,5,5,16,6,-1,1,0,0,2,DIFFER
IND,India,India,1932,0,1,0,1,1,0,0,1,19,-1,1,0,0,2,DIFFER
IRL,Ireland,Ireland,1932,0,2,0,2,2,0,0,2,16,-2,2,0,0,4,DIFFER
ITA,Italy,Italy,1932,12,12,12,36,12,12,12,36,2,0,0,0,0,0,MATCH
JPN,Japan,Japan,1932,4,7,7,18,7,7,4,18,5,-3,0,3,0,6,DIFFER
LAT,Latvia,Latvia,1932,0,0,1,1,0,1,0,1,22,0,-1,1,0,2,DIFFER
LUX,LUX,,1932,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
MEX,Mexico,Mexico,1932,0,0,2,2,0,2,0,2,21,0,-2,2,0,4,DIFFER
MON,MON,,1932,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
NED,Netherlands,Netherlands,1932,1,2,5,8,2,5,1,8,14,-1,-3,4,0,8,DIFFER
NOR,NOR,,1932,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
NZL,New Zealand,New Zealand,1932,0,0,1,1,0,1,0,1,22,0,-1,1,0,2,DIFFER
PER,PER,,1932,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
PHI,Philippines,Philippines,1932,3,0,0,3,0,0,3,3,25,3,0,-3,0,6,DIFFER
POL,Poland,Poland,1932,4,3,2,9,3,2,4,9,10,1,1,-2,0,4,DIFFER
POR,POR,,1932,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ROU,ROU,,1932,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
RSA,South Africa,South Africa,1932,3,2,0,5,2,0,3,5,15,1,2,-3,0,6,DIFFER
SUI,Switzerland,Switzerland,1932,0,0,1,1,0,1,0,1,22,0,-1,1,0,2,DIFFER
SWE,Sweden,Sweden,1932,9,10,5,24,10,5,9,24,4,-1,5,-4,0,10,DIFFER
TCH,Czechoslovakia,Czechoslovakia,1932,2,1,3,6,1,3,2,6,17,1,-2,1,0,4,DIFFER
TUR,TUR,,1932,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
URU,Uruguay,Uruguay,1932,1,0,0,1,0,0,1,1,26,1,0,-1,0,2,DIFFER
USA,United States,United States,1932,30,44,36,110,44,36,30,110,1,-14,8,6,0,28,DIFFER
VEN,VEN,,1932,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
YUG,YUG,,1932,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
AFG,AFG,,1936,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ARG,Argentina,Argentina,1936,3,2,2,7,2,2,3,7,14,1,0,-1,0,2,DIFFER
AUS,Australia,Australia,1936,1,0,0,1,0,0,1,1,30,1,0,-1,0,2,DIFFER
AUT,Austria,Austria,1936,5,5,7,17,5,7,5,17,10,0,-2,2,0,4,DIFFER
BEL,Belgium,Belgium,1936,3,0,0,3,0,0,3,3,28,3,0,-3,0,6,DIFFER
BER,BER,,1936,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BOL,BOL,,1936,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BRA,BRA,,1936,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BUL,BUL,,1936,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CAN,Canada,Canada,1936,5,1,3,9,1,3,5,9,17,4,-2,-2,0,8,DIFFER
CHI,CHI,,1936,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CHN,CHN,,1936,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
COL,COL,,1936,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CRC,CRC,,1936,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
DEN,Denmark,Denmark,1936,3,0,2,5,0,2,3,5,23,3,-2,-1,0,6,DIFFER
EGY,Egypt,Egypt,1936,2,2,1,5,2,1,2,5,16,0,1,-1,0,2,DIFFER
EST,Estonia,Estonia,1936,3,2,2,7,2,2,3,7,14,1,0,-1,0,2,DIFFER
FIN,Finland,Finland,1936,6,8,6,20,8,6,6,20,5,-2,2,0,0,4,DIFFER
FRA,France,France,1936,6,7,6,19,7,6,6,19,6,-1,1,0,0,2,DIFFER
GBR,Great Britain,Great Britain,1936,3,4,7,14,4,7,3,14,12,-1,-3,4,0,8,DIFFER
GER,Germany,Germany,1936,32,38,31,101,38,31,32,101,1,-6,7,-1,0,14,DIFFER
GRE,GRE,,1936,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
HUN,Hungary,Hungary,1936,5,10,1,16,10,1,5,16,3,-5,9,-4,0,18,DIFFER
IND,India,India,1936,0,1,0,1,1,0,0,1,20,-1,1,0,0,2,DIFFER
ISL,ISL,,1936,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ITA,Italy,Italy,1936,5,9,13,27,9,13,5,27,4,-4,-4,8,0,16,DIFFER
JPN,Japan,Japan,1936,10,6,4,20,6,4,10,20,8,4,2,-6,0,12,DIFFER
LAT,Latvia,Latvia,1936,1,0,1,2,0,1,1,2,24,1,-1,0,0,2,DIFFER
LIE,LIE,,1936,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
LUX,LUX,,1936,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
MEX,Mexico,Mexico,1936,3,0,0,3,0,0,3,3,28,3,0,-3,0,6,DIFFER
MLT,MLT,,1936,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
MON,MON,,1936,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
NED,Netherlands,Netherlands,1936,7,6,4,17,6,4,7,17,9,1,2,-3,0,6,DIFFER
NOR,Norway,Norway,1936,2,1,3,6,1,3,2,6,18,1,-2,1,0,4,DIFFER
NZL,New Zealand,New Zealand,1936,0,1,0,1,1,0,0,1,20,-1,1,0,0,2,DIFFER
PER,PER,,1936,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
PHI,Philippines,Philippines,1936,1,0,0,1,0,0,1,1,30,1,0,-1,0,2,DIFFER
POL,Poland,Poland,1936,5,0,4,9,0,4,5,9,22,5,-4,-1,0,10,DIFFER
POR,Portugal,Portugal,1936,1,0,0,1,0,0,1,1,30,1,0,-1,0,2,DIFFER
ROU,Romania,Romania,1936,0,0,1,1,0,1,0,1,25,0,-1,1,0,2,DIFFER
RSA,South Africa,South Africa,1936,0,0,1,1,0,1,0,1,25,0,-1,1,0,2,DIFFER
SUI,Switzerland,Switzerland,1936,5,4,9,18,4,9,5,18,11,1,-5,4,0,10,DIFFER
SWE,Sweden,Sweden,1936,10,6,5,21,6,5,10,21,7,4,1,-5,0,10,DIFFER
TCH,Czechoslovakia,Czechoslovakia,1936,1,3,5,9,3,5,1,9,13,-2,-2,4,0,8,DIFFER
TUR,Turkey,Turkey,1936,1,1,0,2,1,0,1,2,19,0,1,-1,0,2,DIFFER
URU,URU,,1936,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
USA,United States,United States,1936,12,24,21,57,24,21,12,57,2,-12,3,9,0,24,DIFFER
YUG,Yugoslavia,Yugoslavia,1936,0,0,1,1,0,1,0,1,25,0,-1,1,0,2,DIFFER
AFG,AFG,,1948,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ARG,Argentina,Argentina,1948,1,3,3,7,3,3,1,7,13,-2,0,2,0,4,DIFFER
AUS,Australia,Australia,1948,5,2,6,13,2,6,5,13,14,3,-4,1,0,8,DIFFER
AUT,Austria,Austria,1948,4,2,2,8,1,0,3,4,21,3,2,-1,4,6,DIFFER
BEL,Belgium,Belgium,1948,3,2,2,7,2,2,3,7,15,1,0,-1,0,2,DIFFER
BER,BER,,1948,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BRA,Brazil,Brazil,1948,1,0,0,1,0,0,1,1,34,1,0,-1,0,2,DIFFER
CAN,Canada,Canada,1948,2,0,2,4,0,1,2,3,25,2,-1,0,1,3,DIFFER
CHI,CHI,,1948,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CHN,CHN,,1948,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
COL,COL,,1948,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CUB,Cuba,Cuba,1948,0,0,1,1,0,1,0,1,28,0,-1,1,0,2,DIFFER
DEN,Denmark,Denmark,1948,9,5,8,22,5,7,8,20,10,4,-2,0,2,6,DIFFER
EGY,Egypt,Egypt,1948,1,2,2,5,2,2,1,5,16,-1,0,1,0,2,DIFFER
ESP,Spain,Spain,1948,0,0,1,1,0,1,0,1,28,0,-1,1,0,2,DIFFER
FIN,Finland,Finland,1948,6,8,8,22,8,7,5,20,6,-2,1,3,2,6,DIFFER
FRA,France,France,1948,15,11,6,32,10,6,13,29,3,5,5,-7,3,17,DIFFER
GBR,Great Britain,Great Britain,1948,7,4,16,27,3,14,6,23,12,4,-10,10,4,24,DIFFER
GRE,GRE,,1948,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
GUY,GUY,,1948,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
HUN,Hungary,Hungary,1948,12,10,5,27,10,5,12,27,4,2,5,-7,0,14,DIFFER
IND,India,India,1948,0,1,0,1,1,0,0,1,22,-1,1,0,0,2,DIFFER
IRI,Iran,Iran,1948,1,0,0,1,0,0,1,1,34,1,0,-1,0,2,DIFFER
IRL,IRL,,1948,1,0,0,1,0,0,0,0,,1,0,0,1,1,ONLY_IN_ATHLETES
IRQ,IRQ,,1948,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ISL,ISL,,1948,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ITA,Italy,Italy,1948,10,9,12,31,8,11,8,27,5,2,-2,4,4,8,DIFFER
JAM,Jamaica,Jamaica,1948,0,1,2,3,1,2,0,3,20,-1,-1,2,0,4,DIFFER
KOR,South Korea,South Korea,1948,2,0,0,2,0,0,2,2,32,2,0,-2,0,4,DIFFER
LIB,LIB,,1948,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
LIE,LIE,,1948,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
LUX,LUX,,1948,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
MEX,Mexico,Mexico,1948,2,2,1,5,2,1,2,5,17,0,1,-1,0,2,DIFFER
MLT,MLT,,1948,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
MON,MON,,1948,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
MYA,MYA,,1948,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
NED,Netherlands,Netherlands,1948,9,5,2,16,5,2,9,16,11,4,3,-7,0,14,DIFFER
NOR,Norway,Norway,1948,3,1,3,7,1,3,3,7,19,2,-2,0,0,4,DIFFER
NZL,NZL,,1948,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
PAK,PAK,,1948,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
PAN,Panama,Panama,1948,2,0,0,2,0,0,2,2,32,2,0,-2,0,4,DIFFER
PER,Peru,Peru,1948,0,1,0,1,1,0,0,1,22,-1,1,0,0,2,DIFFER
PHI,PHI,,1948,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
POL,Poland,Poland,1948,1,1,0,2,0,0,1,1,34,1,1,-1,1,3,DIFFER
POR,Portugal,Portugal,1948,1,0,1,2,0,1,1,2,26,1,-1,0,0,2,DIFFER
PUR,Puerto Rico,Puerto Rico,1948,1,0,0,1,0,0,1,1,34,1,0,-1,0,2,DIFFER
RSA,South Africa,South Africa,1948,2,2,2,6,2,1,1,4,18,0,1,1,2,2,DIFFER
SGP,SGP,,1948,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
SRI,Ceylon,Ceylon,1948,0,0,1,1,0,1,0,1,28,0,-1,1,0,2,DIFFER
SUI,Switzerland,Switzerland,1948,4,5,12,21,5,10,5,20,9,-1,-5,7,1,13,DIFFER
SWE,Sweden,Sweden,1948,18,17,11,46,16,11,17,44,2,2,6,-6,2,14,DIFFER
SYR,SYR,,1948,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
TCH,Czechoslovakia,Czechoslovakia,1948,3,6,2,11,6,2,3,11,8,-3,4,-1,0,8,DIFFER
TTO,Trinidad and Tobago,Trinidad and Tobago,1948,0,0,1,1,0,1,0,1,28,0,-1,1,0,2,DIFFER
TUR,Turkey,Turkey,1948,2,6,4,12,6,4,2,12,7,-4,2,2,0,8,DIFFER
URU,Uruguay,Uruguay,1948,1,0,1,2,0,1,1,2,26,1,-1,0,0,2,DIFFER
USA,United States,United States,1948,19,38,27,84,38,27,19,84,1,-19,11,8,0,38,DIFFER
VEN,VEN,,1948,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
YUG,Yugoslavia,Yugoslavia,1948,0,0,2,2,0,2,0,2,24,0,-2,2,0,4,DIFFER
AHO,AHO,,1952,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ARG,Argentina,Argentina,1952,2,1,2,5,1,2,2,5,19,1,-1,0,0,2,DIFFER
AUS,Australia,Australia,1952,3,6,2,11,6,2,3,11,9,-3,4,-1,0,8,DIFFER
AUT,Austria,Austria,1952,1,0,1,2,0,1,1,2,32,1,-1,0,0,2,DIFFER
BAH,BAH,,1952,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BEL,Belgium,Belgium,1952,0,2,2,4,2,2,0,4,14,-2,0,2,0,4,DIFFER
BER,BER,,1952,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BRA,Brazil,Brazil,1952,2,1,0,3,1,0,2,3,24,1,1,-2,0,4,DIFFER
BUL,Bulgaria,Bulgaria,1952,1,0,0,1,0,0,1,1,40,1,0,-1,0,2,DIFFER
CAN,Canada,Canada,1952,0,1,2,3,1,2,0,3,21,-1,-1,2,0,4,DIFFER
CHI,Chile,Chile,1952,0,0,2,2,0,2,0,2,31,0,-2,2,0,4,DIFFER
CHN,CHN,,1952,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CUB,CUB,,1952,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
DEN,Denmark,Denmark,1952,3,2,1,6,2,1,3,6,15,1,1,-2,0,4,DIFFER
EGY,Egypt,Egypt,1952,1,0,0,1,0,0,1,1,40,1,0,-1,0,2,DIFFER
ESP,Spain,Spain,1952,0,0,1,1,0,1,0,1,34,0,-1,1,0,2,DIFFER
FIN,Finland,Finland,1952,13,6,3,22,6,3,13,22,8,7,3,-10,0,20,DIFFER
FRA,France,France,1952,6,6,6,18,6,6,6,18,7,0,0,0,0,0,MATCH
GBR,Great Britain,Great Britain,1952,8,1,2,11,1,2,8,11,18,7,-1,-6,0,14,DIFFER
GER,Germany,Germany,1952,17,0,7,24,0,7,17,24,28,17,-7,-10,0,34,DIFFER
GHA,GHA,,1952,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
GRE,GRE,,1952,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
GUA,GUA,,1952,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
GUY,GUY,,1952,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
HKG,HKG,,1952,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
HUN,Hungary,Hungary,1952,16,16,10,42,16,10,16,42,3,0,6,-6,0,12,DIFFER
INA,INA,,1952,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
IND,India,India,1952,1,1,0,2,1,0,1,2,26,0,1,-1,0,2,DIFFER
IRI,Iran,Iran,1952,4,0,3,7,0,3,4,7,30,4,-3,-1,0,8,DIFFER
IRL,Ireland,Ireland,1952,0,0,1,1,0,1,0,1,34,0,-1,1,0,2,DIFFER
ISL,ISL,,1952,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ISR,ISR,,1952,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ITA,Italy,Italy,1952,4,8,9,21,8,9,4,21,5,-4,-1,5,0,10,DIFFER
JAM,Jamaica,Jamaica,1952,0,2,3,5,2,3,0,5,13,-2,-1,3,0,6,DIFFER
JPN,Japan,Japan,1952,1,1,6,8,1,6,2,9,17,0,-5,4,-1,9,DIFFER
KOR,South Korea,South Korea,1952,2,0,0,2,0,0,2,2,37,2,0,-2,0,4,DIFFER
LIB,Lebanon,Lebanon,1952,1,0,1,2,0,1,1,2,32,1,-1,0,0,2,DIFFER
LIE,LIE,,1952,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
LUX,Luxembourg,Luxembourg,1952,0,1,0,1,1,0,0,1,27,-1,1,0,0,2,DIFFER
MEX,Mexico,Mexico,1952,0,0,1,1,0,1,0,1,34,0,-1,1,0,2,DIFFER
MON,MON,,1952,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
MYA,MYA,,1952,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
NED,Netherlands,Netherlands,1952,0,0,5,5,0,5,0,5,29,0,-5,5,0,10,DIFFER
NGR,NGR,,1952,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
NOR,Norway,Norway,1952,0,3,2,5,3,2,0,5,10,-3,1,2,0,6,DIFFER
NZL,New Zealand,New Zealand,1952,2,1,0,3,1,0,2,3,24,1,1,-2,0,4,DIFFER
PAK,PAK,,1952,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
PAN,PAN,,1952,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
PHI,PHI,,1952,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
POL,Poland,Poland,1952,1,1,2,4,1,2,1,4,20,0,-1,1,0,2,DIFFER
POR,Portugal,Portugal,1952,1,0,0,1,0,0,1,1,40,1,0,-1,0,2,DIFFER
PUR,PUR,,1952,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ROU,Romania,Romania,1952,2,1,1,4,1,1,2,4,23,1,0,-1,0,2,DIFFER
RSA,South Africa,South Africa,1952,4,2,4,10,2,4,4,10,12,2,-2,0,0,4,DIFFER
SAA,SAA,,1952,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
SGP,SGP,,1952,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
SRI,SRI,,1952,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
SUI,Switzerland,Switzerland,1952,6,2,6,14,2,6,6,14,11,4,-4,0,0,8,DIFFER
SWE,Sweden,Sweden,1952,10,12,13,35,12,13,10,35,4,-2,-1,3,0,6,DIFFER
TCH,Czechoslovakia,Czechoslovakia,1952,3,7,3,13,7,3,3,13,6,-4,4,0,0,8,DIFFER
THA,THA,,1952,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
TTO,Trinidad and Tobago,Trinidad and Tobago,1952,2,0,0,2,0,0,2,2,37,2,0,-2,0,4,DIFFER
TUR,Turkey,Turkey,1952,1,2,0,3,2,0,1,3,16,-1,2,-1,0,4,DIFFER
URS,Soviet Union,Soviet Union,1952,19,22,29,70,22,30,19,71,2,-3,-8,10,-1,21,DIFFER
URU,Uruguay,Uruguay,1952,2,0,0,2,0,0,2,2,37,2,0,-2,0,4,DIFFER
USA,United States,United States,1952,17,40,19,76,40,19,17,76,1,-23,21,2,0,46,DIFFER
VEN,Venezuela,Venezuela,1952,1,0,0,1,0,0,1,1,40,1,0,-1,0,2,DIFFER
VNM,VNM,,1952,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
YUG,Yugoslavia,Yugoslavia,1952,0,1,2,3,1,2,0,3,21,-1,-1,2,0,4,DIFFER
AFG,AFG,,1956,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ARG,Argentina,Argentina,1956,1,0,1,2,0,1,1,2,29,1,-1,0,0,2,DIFFER
AUS,Australia,Australia,1956,14,13,8,35,13,8,14,35,3,1,5,-6,0,12,DIFFER
AUT,Austria,Austria,1956,2,0,0,2,0,0,2,2,34,2,0,-2,0,4,DIFFER
BAH,Bahamas,Bahamas,1956,1,0,0,1,0,0,1,1,35,1,0,-1,0,2,DIFFER
BEL,Belgium,Belgium,1956,0,0,2,2,0,2,0,2,28,0,-2,2,0,4,DIFFER
BER,BER,,1956,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BRA,Brazil,Brazil,1956,0,1,0,1,1,0,0,1,24,-1,1,0,0,2,DIFFER
BUL,Bulgaria,Bulgaria,1956,1,1,3,5,1,3,1,5,19,0,-2,2,0,4,DIFFER
CAM,CAM,,1956,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CAN,Canada,Canada,1956,3,2,1,6,2,1,3,6,15,1,1,-2,0,4,DIFFER
CHI,Chile,Chile,1956,2,0,2,4,0,2,2,4,27,2,-2,0,0,4,DIFFER
COL,COL,,1956,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CUB,CUB,,1956,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
DEN,Denmark,Denmark,1956,1,1,2,4,1,2,1,4,20,0,-1,1,0,2,DIFFER
EGY,EGY,,1956,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ESP,ESP,,1956,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ETH,ETH,,1956,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
FIJ,FIJ,,1956,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
FIN,Finland,Finland,1956,11,3,1,15,3,1,11,15,13,8,2,-10,0,20,DIFFER
FRA,France,France,1956,6,4,4,14,4,4,6,14,11,2,0,-2,0,4,DIFFER
GBR,Great Britain,Great Britain,1956,11,6,7,24,6,7,11,24,8,5,-1,-4,0,10,DIFFER
GER,United Team of Germany,United Team of Germany,1956,7,6,13,26,6,13,7,26,7,1,-7,6,0,14,DIFFER
GRE,Greece,Greece,1956,1,0,0,1,0,0,1,1,35,1,0,-1,0,2,DIFFER
GUY,GUY,,1956,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
HKG,HKG,,1956,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
HUN,Hungary,Hungary,1956,7,9,10,26,9,10,7,26,4,-2,-1,3,0,6,DIFFER
INA,INA,,1956,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
IND,India,India,1956,0,1,0,1,1,0,0,1,24,-1,1,0,0,2,DIFFER
IRI,Iran,Iran,1956,1,2,2,5,2,2,1,5,14,-1,0,1,0,2,DIFFER
IRL,Ireland,Ireland,1956,3,1,1,5,1,1,3,5,21,2,0,-2,0,4,DIFFER
ISL,Iceland,Iceland,1956,0,0,1,1,0,1,0,1,31,0,-1,1,0,2,DIFFER
ISR,ISR,,1956,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ITA,Italy,Italy,1956,9,8,8,25,8,8,9,25,5,1,0,-1,0,2,DIFFER
JAM,JAM,,1956,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
JPN,Japan,Japan,1956,3,4,10,17,4,10,5,19,10,-1,-6,5,-2,12,DIFFER
KEN,KEN,,1956,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
KOR,South Korea,South Korea,1956,1,0,1,2,0,1,1,2,29,1,-1,0,0,2,DIFFER
LBR,LBR,,1956,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
LUX,LUX,,1956,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
MAL,MAL,,1956,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
MEX,Mexico,Mexico,1956,1,1,0,2,1,0,1,2,23,0,1,-1,0,2,DIFFER
MYA,MYA,,1956,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
NBO,NBO,,1956,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
NED,NED,,1956,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
NGR,NGR,,1956,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
NOR,Norway,Norway,1956,2,1,0,3,1,0,2,3,22,1,1,-2,0,4,DIFFER
NZL,New Zealand,New Zealand,1956,0,2,0,2,2,0,0,2,16,-2,2,0,0,4,DIFFER
PAK,Pakistan,Pakistan,1956,0,0,1,1,0,1,0,1,31,0,-1,1,0,2,DIFFER
PER,PER,,1956,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
PHI,PHI,,1956,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
POL,Poland,Poland,1956,4,1,4,9,1,4,4,9,17,3,-3,0,0,6,DIFFER
POR,POR,,1956,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
PUR,PUR,,1956,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ROU,Romania,Romania,1956,5,5,3,13,5,3,5,13,9,0,2,-2,0,4,DIFFER
RSA,South Africa,South Africa,1956,4,0,0,4,0,0,4,4,33,4,0,-4,0,8,DIFFER
SGP,SGP,,1956,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
SRI,SRI,,1956,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
SUI,Switzerland,Switzerland,1956,1,0,0,1,0,0,1,1,35,1,0,-1,0,2,DIFFER
SWE,Sweden,Sweden,1956,6,8,5,19,8,5,6,19,6,-2,3,-1,0,6,DIFFER
TCH,Czechoslovakia,Czechoslovakia,1956,1,1,4,6,1,4,1,6,18,0,-3,3,0,6,DIFFER
THA,THA,,1956,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
TPE,Formosa,,1956,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
TTO,TTO,,1956,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
TUR,Turkey,Turkey,1956,2,3,2,7,3,2,2,7,12,-1,1,0,0,2,DIFFER
UGA,UGA,,1956,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
URS,Soviet Union,Soviet Union,1956,32,37,29,98,37,29,32,98,1,-5,8,-3,0,16,DIFFER
URU,Uruguay,Uruguay,1956,1,0,0,1,0,0,1,1,35,1,0,-1,0,2,DIFFER
USA,United States,United States,1956,17,32,25,74,32,25,17,74,2,-15,7,8,0,30,DIFFER
VEN,VEN,,1956,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
